
Gurobi 12.0.2 (mac64[arm]) logging started Tue Jun 24 05:59:38 2025

Set parameter LogFile to value "../../result/data/prodhon/coord100-10-3b-2e.log"
Gurobi Optimizer version 12.0.2 build v12.0.2rc0 (mac64[arm] - Darwin 24.5.0 24F74)

CPU model: Apple M4
Thread count: 10 physical cores, 10 logical processors, using up to 10 threads

Non-default parameters:
TimeLimit  7200

Optimize a model with 199202 rows, 219420 columns and 4700084 nonzeros
Model fingerprint: 0x091a877e
Variable types: 12610 continuous, 206810 integer (206810 binary)
Coefficient statistics:
  Matrix range     [5e-02, 1e+04]
  Objective range  [3e-02, 6e+05]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 1e+04]
Presolve removed 5414 rows and 3484 columns (presolve time = 5s)...
Presolve removed 6688 rows and 4366 columns
Presolve time: 10.00s
Presolved: 192514 rows, 215054 columns, 4666163 nonzeros
Variable types: 10718 continuous, 204336 integer (204336 binary)
Deterministic concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Root barrier log...

Ordering time: 0.09s

Barrier performed 0 iterations in 11.67 seconds (33.91 work units)
Barrier solve interrupted - model solved by another algorithm

Concurrent spin time: 0.08s

Solved with dual simplex

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    4380    2.7094007e+06   0.000000e+00   0.000000e+00     12s

Use crossover to convert LP symmetric solution to basic solution...

Root crossover log...

       0 DPushes remaining with DInf 0.0000000e+00                12s

    1464 PPushes remaining with PInf 0.0000000e+00                12s
       0 PPushes remaining with PInf 0.0000000e+00                12s

  Push phase complete: Pinf 0.0000000e+00, Dinf 1.7543750e+02     12s


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    6606    2.7094007e+06   0.000000e+00   1.754375e+02     12s
    6664    2.7094007e+06   0.000000e+00   0.000000e+00     12s

Root relaxation: objective 2.709401e+06, 6664 iterations, 1.00 seconds (2.36 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2709400.74    0  219          - 2709400.74      -     -   12s
     0     0 2709411.74    0  206          - 2709411.74      -     -   15s
     0     0 2709411.74    0  208          - 2709411.74      -     -   16s
     0     0 2709411.74    0  208          - 2709411.74      -     -   18s
     0     0 2709411.74    0  208          - 2709411.74      -     -   19s
     0     0 2709411.74    0  206          - 2709411.74      -     -   21s
     0     0 2709411.74    0  206          - 2709411.74      -     -   23s
     0     0 2709411.74    0  203          - 2709411.74      -     -   25s
     0     0 2709411.74    0  203          - 2709411.74      -     -   26s
     0     0 2709411.74    0  209          - 2709411.74      -     -   29s
     0     0 2709411.74    0  209          - 2709411.74      -     -   34s
     0     2 2709411.74    0  202          - 2709411.74      -     -   50s
    40    52 2711557.74    6  201          - 2710636.07      -  72.9   56s
   186   195 2712158.38   18  201          - 2710636.07      -  49.0   60s
   441   455 2714006.20   46  205          - 2710636.07      -  47.2   66s
   477   484 2720147.36   52  200          - 2710636.07      -  54.7   71s
   549   557 2714219.67   62  201          - 2710636.07      -  55.9   75s
   719   745 2714883.19   87  204          - 2710636.07      -  65.5   82s
   943   950 2725301.07  115  196          - 2710636.07      -  69.2   85s
  1276  1282 2715806.31  167  207          - 2710816.60      -  65.0   92s
  1502  1525 2716292.07  204  210          - 2710816.60      -  65.5   96s
  1891  1917 2737113.64  222  200          - 2710816.60      -  63.2  100s
  2207  2243 2737827.64  263  196          - 2710816.60      -  63.1  105s
  2542  2560 2738020.37  293  204          - 2710816.60      -  65.3  110s
  2768  2789 2738298.27  313  197          - 2710816.60      -  68.0  115s
  3070  3070 2743355.29  359  202          - 2710816.60      -  73.5  122s
  3299  3340 2763681.92  378  192          - 2710816.60      -  77.2  127s
  3615  3654 2767145.82  404  227          - 2710816.60      -  76.0  132s
  3976  3966 2769331.22  447  217          - 2710816.60      -  74.8  137s
  4129  4126 2769965.55  460  204          - 2710816.60      -  74.9  140s
  4490  4487 2771400.56  492  207          - 2710816.60      -  75.4  146s
  4882  4888 2772487.55  532  195          - 2710816.60      -  75.5  152s
  5087  5113 2773650.53  558  203          - 2710816.60      -  76.0  156s
  5577  5599 2790191.09  591  212          - 2710816.60      -  74.6  163s
